Date, Close/Last, Volume, Open, High, Low
09/25/2020, $112.28, 149981400, $108.43, $112.44, $107.67
09/24/2020, $108.22, 167743300, $105.17, $110.25, $105
09/23/2020, $107.12, 150718700, $111.62, $112.11, $106.77
09/22/2020, $111.81, 183055400, $112.68, $112.86, $109.16
09/21/2020, $110.08, 195713800, $104.54, $110.19, $103.1
09/18/2020, $106.84, 287104900, $110.4, $110.88, $106.09
09/17/2020, $110.34, 178011000, $109.72, $112.2, $108.71
09/16/2020, $112.13, 155026700, $115.23, $116, $112.04
09/15/2020, $115.54, 184642000, $118.33, $118.829, $113.61
09/14/2020, $115.355, 140150100, $114.72, $115.93, $112.8
09/11/2020, $112, 180860300, $114.57, $115.23, $110
09/10/2020, $113.49, 182274400, $120.36, $120.5, $112.5
09/09/2020, $117.32, 176940500, $117.26, $119.14, $115.26
09/08/2020, $112.82, 231366600, $113.95, $118.99, $112.68
09/04/2020, $120.96, 332607200, $120.07, $123.7, $110.89
09/03/2020, $120.88, 257599600, $126.91, $128.84, $120.5
09/02/2020, $131.4, 200119000, $137.59, $137.98, $127
09/01/2020, $134.18, 152470100, $132.76, $134.8, $130.53
08/31/2020, $129.04, 225702700, $127.58, $131, $126
08/28/2020, $124.8075, 187629920, $126.0125, $126.4425, $124.5775
08/27/2020, $125.01, 155552400, $127.1425, $127.485, $123.8325
